Métrica,Teck Resources,TSX Mining Index
Mean Return (%),48.22784446547576,16.43729153261642
Volatility (%),135.1561461369401,27.66777870192099
Sharpe Ratio,0.3346340196741845,0.48566571524888835
Max Drawdown (%),-7.306215598712806,-5.171192011558945
