Feature,SHAP_Importance,LIME_Importance,Absolute_Difference
Annual_Return_Pct,0.31707197,0.026054023761775864,0.2910179505157205
ESG_Disclosure_Index,0.060391806,0.06788306791189931,0.007491261845863087
Market_Liquidity,0.60005987,0.8674983051374079,0.2674384382321955
Report_Quality_Score,0.022476403,0.038564603188916864,0.0160882001462428
